"person" "activity" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z"
1 "LAYING" 0.22159824394 -0.0405139534294 -0.11320355358 -0.9280564692 -0.83682740562 -0.826061401628
1 "SITTING" 0.261237565425532 -0.00130828765170213 -0.104544182255319 -0.977229008297872 -0.922618641914894 -0.93958629106383
1 "STANDING" 0.278917629056604 -0.0161375901037736 -0.110601817735849 -0.995759901509434 -0.973190056415094 -0.979775876981132
1 "WALKING" 0.277330758736842 -0.0173838185273684 -0.111148103547368 -0.283740258842105 0.114461336747368 -0.260027902210526
1 "WALKING_DOWNSTAIRS" 0.289188320408163 -0.00991850461020408 -0.107566190908163 0.0300353383483878 -0.0319359434489796 -0.230434213204082
1 "WALKING_UPSTAIRS" 0.255461689622641 -0.0239531492643396 -0.0973020020943396 -0.35470802509434 -0.00232026501698113 -0.0194792388471698
2 "LAYING" 0.281373403958333 -0.0181587397583333 -0.107245610416667 -0.974059464791667 -0.98027739875 -0.984233296875
2 "SITTING" 0.27708735173913 -0.0156879937282609 -0.109218272456522 -0.986822279565217 -0.950704499130435 -0.95982817173913
2 "STANDING" 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.987271889259259 -0.957304989259259 -0.949741851296296
2 "WALKING" 0.276426586440678 -0.0185949199145763 -0.105500357966102 -0.423642838474576 -0.0780912533118644 -0.425257524915254
2 "WALKING_DOWNSTAIRS" 0.27761534806383 -0.0226614158361702 -0.116812942382979 0.0463666814446808 0.262881788951064 -0.10283790806383
2 "WALKING_UPSTAIRS" 0.247164790395833 -0.0214121132045833 -0.152513899520833 -0.304376406458333 0.108027279889583 -0.112121021220833
3 "LAYING" 0.275516852741935 -0.0189556785048387 -0.101300477506452 -0.982776639193548 -0.962057544516129 -0.96369103483871
3 "SITTING" 0.257197599134615 -0.00350299841730769 -0.0983579203269231 -0.971010120961538 -0.856617812115385 -0.875110175384615
3 "STANDING" 0.280046513278689 -0.0143376555065574 -0.101621722633148 -0.96674254295082 -0.893449307213115 -0.911419015081967
3 "WALKING" 0.275567462068966 -0.0171767844203448 -0.112674859827586 -0.360356726034483 -0.0699140652103448 -0.387411994310345
3 "WALKING_DOWNSTAIRS" 0.292423484693878 -0.0193554079328571 -0.116139842908163 -0.0574100475102041 -0.0331503723387755 -0.362240245489796
3 "WALKING_UPSTAIRS" 0.260819873067797 -0.0324109410555932 -0.110064863437288 -0.313123437627119 0.0116280813372881 -0.369754604067797
4 "LAYING" 0.263559214981481 -0.0150031841055556 -0.110688150314815 -0.954193738888889 -0.941714042407407 -0.962667314814815
4 "SITTING" 0.27153827992 -0.007163065158 -0.10587459588 -0.980309931 -0.89022398108 -0.9322030066
4 "STANDING" 0.280499745892857 -0.00948911098553571 -0.0961574905535714 -0.97692058 -0.86159737875 -0.896880538392857
4 "WALKING" 0.278582015166667 -0.0148399475341667 -0.11140306485 -0.440829971333333 -0.0788267367683333 -0.586252806833333
4 "WALKING_DOWNSTAIRS" 0.279965329555556 -0.00980200850666667 -0.1067775246 0.0111935496222222 -0.21859832499 -0.479185977111111
4 "WALKING_UPSTAIRS" 0.270876696730769 -0.0319804295729615 -0.114219455519231 -0.204933042903846 -0.0666899105180769 -0.372137777692308
5 "LAYING" 0.278334325576923 -0.0183042123269231 -0.107937603673077 -0.965934509615385 -0.969295613269231 -0.968562516346154
5 "SITTING" 0.273694139545455 -0.00990083527045455 -0.108540300265909 -0.980945022045455 -0.904335121022727 -0.926094740227273
5 "STANDING" 0.282544390892857 -0.00700418554517857 -0.102171095696429 -0.968591815714286 -0.869439913392857 -0.869327321785714
5 "WALKING" 0.27784234625 -0.0172850317482679 -0.107741776464286 -0.294098534232143 0.0767484028053571 -0.45702143625
5 "WALKING_DOWNSTAIRS" 0.29354392712766 -0.00850107533191489 -0.100319930659574 0.275046110468085 0.0907630761042553 -0.325891435319149
5 "WALKING_UPSTAIRS" 0.268459469914894 -0.0325269755153191 -0.107471453914894 -0.0457237779851064 0.185022459476596 -0.308938978787234
6 "LAYING" 0.248656520140351 -0.0102529170561404 -0.133119570368421 -0.934049422052632 -0.924644826385965 -0.925216100350877
6 "SITTING" 0.276778487454545 -0.0145911615290909 -0.110127728709091 -0.980164933636364 -0.923682131090909 -0.925797097090909
6 "STANDING" 0.280346248596491 -0.0181236327175439 -0.112172831947368 -0.981758159649123 -0.921493191754386 -0.925692371929825
6 "WALKING" 0.283658868070175 -0.0168954189082456 -0.110303165877193 -0.296538717368421 0.164213884996491 -0.504324207192982
6 "WALKING_DOWNSTAIRS" 0.277045258145833 -0.019536840063125 -0.107209356208333 0.383681639791667 0.360164958768542 -0.320204232520417
6 "WALKING_UPSTAIRS" 0.268229355098039 -0.0272425385070588 -0.122082438784314 -0.0501350188513725 0.189276117327451 -0.353519514896078
